,,re,li,co,
@RobertC79159297,These companies are asking for customers not to open carry in their stores! Probably out of concern for those customers uncomfortable with guns. My reading is concealed carry is not affected by such a request. I’m a concealed carry guy. Sounds like a reasonable request to me.,1,9,3,
@RobertC79159297,That sounds like what liberals do to us and I don’t like it! Doesn’t hurt to be polite and considerate!,0,1,1,
@luvsiga246,"Absolutely,, if these liberal antigun people are scared, maybe it's their problem and I personally don't care if it offends them.. they would certainly thank one of us if we saved their families lives... sometimes it hurts to be woken up...",0,2,2,
@luvsiga246,"Well, I conceal carry most of the time. But I would rather be a target fighting back than some innocent child. Quite often a coward shooter will be deterred if they see others with weapons. Jackass is a bit much??",0,0,0,
@YipekEspitia,I try not to shop at Walmart. I probably goes once or twice a year. Walmart just isn’t for me.,0,4,1,
@SilverPatriot1,Walmart now virtue signaling after destroying small mom and pop businesses for years. But it’s all loss and no zero gain for them this time. Stupid.,1,6,3,
@Jxhnny_K,If only banks would adopt the same policy. Think of the heists we could avoid!,1,6,1,
@luvsiga246,"Yes Johnny,,, the criminals would now have to ask the teller politely to hand over the money..""This is a stickup,,,if you don't handover the money, I will make mean face at you"". That will do it,,,",0,3,1,
@Jxhnny_K,"Well, to be fair, they could still use slap fights and tickle torture to get the loot. Such silly times we live in…",1,2,0,
@jerryb33709,They are supporting local gun shops and ammo sellers by no longer competing with them. 👍,0,9,1,
@RichardManley12,"Which means watch prices raise in the gun shops, as people leave the ""Big Box Stores"" for firearms and ammo without competition.",0,0,0,
@HMGamble66,,8,31,1,https://twitter.com/HMGamble66/status/1170473927833006081/photo/1
@american23t,It's not about the restriction of criminals... It's about putting more chains on the law abiding people... #GunControl... #GunControlNow...,0,0,1,
@ruazombie1,And maybe the only law abiding people.,0,0,1,
@JENNRN04,There has been law abiding citizens with carry conceal permits whom have saved lives due to packing their guns in Walmart. Huge mistake Walmart for doing away with this.,0,22,1,
@Underground9O6,"They're asking people to not open carry baby killers. A scenario for the wanna-be heroes. Cowboy 1 wont know if cowboy 2 is really bad guy 1. So they all fire and shoot babies in the face. It's that simple. Dont like it, shop somewhere else. They're gonna gain business from this",0,1,2,
@GREGSTER_A,"WOW????🤔🤔🤔 so sorry for your delusion! Every American had affordable health care or access to health care! Till later 2008! If you think your going to get health care with socialism, well you will wait in line! The elite will be cared for before you or I!",0,2,0,
@TenNamesLater,"Ok. So @Walmart had a shooter. Wouldn’t customers be more safe if a good guy with a gun could have taken out the shooter? Instead, Walmart now makes customers defenseless sitting ducks against a shooter. This is illogical.",2,6,1,
@LPASSETMGT,Conceal carry my Glock 27 into Walmart every time I shop there.,1,58,10,
@jeremy_p,"If there's a place you want to carry, it's definitely Walmart. Their parking lots seem dangerous.",0,1,1,
@american23t,"I prefer #RuralKing. You can buy many things there not found at #Walmart anymore. You can buy an item & a license to go get some food in the woods with it & feed your family. Another item you do canning in jars using fruits & vegetables, from seeds you bought & grew. It's great.",1,2,0,
@ltruslow,"The sad thing is that the clientele that goes to my local @Walmart would require me to carry a gun for safety. I go early in the morning, or not at all!",0,21,3,
