https://twitter.com/urbanx_f/status/1165279293339033601,,retweet,likes,comments,,,,retweet,likes,comments
@eimzcaomhanach,Good god. It’s not a “scientific fact”,6,79,0,,,,,,
@streetnoodle,Show the evidence. If you do not show me studies that have been replicated & peer reviewed - I will conclude you are intentionally spreading this falsehood to harm others.,32,288,3,,,,,,
@JoanneFMJ,"I agree. His assertion is bullsh!t, spreading disinformation that damages families & communities. Gotta wonder why a guy who claims to be scientifically-trained (a ‘microscopist’?) would spread garbage like this on twitter unless he meant harm.",3,59,3,,,,,,
@Simplymarvlous,Microscopists don't study viruses.virologists study viruses. You cannot see virus using a light microscope .a microscopist would know that. he's an imposter . 🔬,1,3,0,,,,,,
@peterjdenyer,The real best time was BEFORE sending it.,0,3,0,,,,,,
@mchayden100,The only study that linked vaccines with autism has been thoroughly debunked and it’s author completely discredited. So stop spreading BS.,37,347,6,,,,,,
@kelliapowers1,"As an RN AND momma to 4 kiddos, I ABSOLUTELY AGREE, 100%‼️ All 4 of my kids recvd the EXACT SAME VACCINES, yet only my youngest son has been diagnosed with ASD, so pls, 1 of you fucked-up, anti-vaxers - start your stupid shit with me cuz I’m REALLY Un-fucking-happy & in the Mood!",0,2,0,,,,,,
@RobAnderson2018,"Dear me - another idiot. Fortunately, your audience and footprint are minimal, but you Whack a Mole Tweeters who keep popping up with fresh stupid vex me. Attend: VACCINES DO NOT CAUSE AUTISM. The original study that suggested so is long debunked. Sincerely, an Autistic Man",52,569,11,,,,,,
@EwanMTG,"Rob my mom's cousin lived with us for a while rent free. She said my mom gave me autism by vaccinating me, my mom told her to get the fuck out right then and there.",6,237,3,,,,,,
@RobAnderson2018,"I’m sorry to hear that, but also glad. We must squash ignorance.",4,169,1,,,,,,
@elle_schwyn,His profile says infectious disease analyst...🤦🏻‍♀️🤦🏻‍♀️,0,30,7,,,,,,
@ByrningBunny,But he doesn’t know when to use effect vs affect. 😂,1,23,1,,,,,,
@elle_schwyn,😂🤣😂 Good point 👏👏,0,7,0,,,,,,
@DoubleDumas,Vaccines do not cause autism. That's a scientific fact.,13,336,6,,,,,,
@urbanx_f,Wrong.,0,14,31,,,,,,
@DoubleDumas,Prove it.,1,36,5,,,,,,
@KayVonPaul,The vaxx damaged needs spoon feeding...I wonder why...,4,8,19,,,,,,
@inkpistachio,"this is fabricated bullshit. and even if it were true, youre basically saying you would rather have a child with measles and polio than one with autism. plonker",0,0,1,,,,,,
@KayVonPaul,Like your fabricated bs response? Never said that...or eluded. I am not in fear of measles or any other disease. I am connected to many that have vaccine injured children and adult children. Brit term-plonker is your ‘prince’ and name calling is a Pharma damage sign..may you heal,0,0,1,,,,,,
@inkpistachio,"I am not in fear of measles according to world health organization, measles kills 110,000 a year https://who.int/news-room/fact-sheets/detail/measles, and that number will increase if you keep bullshiting gullible parents. 0 people die from autism. also i use british insults because im a brit",0,0,1,,,,,,
@KayVonPaul,Good for you...but outside of the British it’s rubbish 😆 Start by researching who funds WHO,0,0,0,,,,,,
@StevenDJBaumann,I don’t think you know what science is. Especially since the 90s paper that started this antivaxx crap has been redacted...in its entirety.,1,11,0,,,,,,
@nurse_nomad,It is *not*. You are spreading misinformation. Please remind us of your formal science education.,8,301,5,,,,,,
@urbanx_f,Privé me wrong.,0,2,64,,,,,,
@AnnTruwe,"Weird. I’ve had all my shots, and I don’t have autism. My hubby and sons have all their shots and they don’t have autism. My 7 siblings, their husbands, wives and children all had their shots, but no autism. My vaccinated niece is an anti vaxxer. Her unvaccinated son has autism.",25,143,6,,,,,,
@Simplymarvlous,My unvaccinated great aunts died of diseases that are now preventable. People are so lucky there are vaccines so more children live to grow up .they didn't have that option,0,3,0,,,,,,
@LordlessIowan,See a counselor. A secular counselor.,6,249,0,,,,,,
@MikePrevost3,University of Google degrees cause stupidity. That's a scientific fact that's proven every single day. 🙄,12,182,5,,,,,,
@OPCGhost,"There's a reason they only printed the Bible in Latin or Greek, and boy, were they right.😎",0,29,1,,,,,,
@LgFski,Because flipping English didn’t exist....,0,0,2,,,,,,
@MikePrevost3,"The Gutenberg Bible was printed in the mid 1400s. Chaucer wrote The Canterbury Tales in Middle English sometime circa 1380. He died in 1400. My undergrad major was Humanities, and I had to read the damn thing in the original Middle English. I learned a lot of useless trivia. 😂",0,1,0,,,,,,
@slowcookedramen,"No it isnt scientific fact, However it is a scientific breakthrough that someone with the IQ of a potato can use Twitter. I figured I should let you know I was referring to you, since you don't seem to bright.",0,5,0,,,,,,
@kidsistah,"This is an ""infectious disease analyst"" (see profile) who cannot decide when he should use ""effect"" over ""affect"". If you believe one word this yutz is spreading you are ten times dumber than he is.",1,8,0,,,,,,
@RomeoAlpha68,No No they don't . Show me the proof.,4,92,1,,,,,,
@RomeoAlpha68,"Well Obviously , there is No Proof .",1,44,2,,,,,,
@dieglobal1st,Simpsonwood transcript brah,0,0,0,,,,,,
@nadiepetah,That research was found to be fabricated and the faker that did it was charged for fraud. There is no scientific proof that it does but many scientific studies that show there is no connection to vaccines and autism.,27,211,6,,,,,,
@AnotherSapien,See my tweet from last week.,0,19,0,,,,,,
@Breakthespell1,"If it's a scientific fact, the can you produce any evidence to prove this?",0,3,0,,,,,,
@ChezarGarnett,"Um, dude. That is opposite of a fact. Vaccines do not cause autism. That’s the fact. Otherwise all of us baby boomers who got lots of early mercury preserved vaccines would have autism.",0,4,0,,,,,,
@Theon_Orbis,Complete bs!,0,4,0,,,,,,
